name,jurisdiction,category,designator,description,additional_description1,additional_description2,url1,url2,url3,url4,lookup jurisdiction,long_id,notes,additional_description3,seo_title,seo_description,seo_keywords
Should we make changes to the processes for initiative and referendum measures?,Statewide,Initiative,517,<p>This measure would set penalties for interfering with or retaliating against signature-gatherers and petition-signers; require that all measures receiving sufficient signatures appear on the ballot; and extend time for gathering initiative petition signatures.</p.  <p>Should this measure be enacted into law?</p>,"<p>Written by the Office of the Attorney General</p>
<h3>The Law as it Presently Exists</h3>
<p>Under current law, anyone wishing to propose an initiative measure for a statewide vote of the people can file it with the Secretary of State starting ten months before the election at which the voters will consider the measure. Initiative measures petitioning the legislature to enact a proposed measure can be filed with the Secretary of State starting ten months before the legislature's next regular session. After the Secretary of State accepts the initial filing of the measure, initiative supporters may begin collecting petition signatures.</p>
<p>To have an initiative submitted for a statewide vote of the people or to the legislature, the initiative sponsor must submit petitions to the Secretary of State containing the number of valid signatures required by the Washington State Constitution. Washington law provides that petitions must state the initiative measure in full and contain a place for each petitioner to sign and print their name and the address at which they are registered to vote. Petitions must contain a statement affirming that each person signing does so personally as a Washington voter, is providing correct information, has signed only once, and does so truthfully. The law also requires petitions to contain the signature of the petition circulator, swearing or acknowledging that to the best of his or her knowledge, voters signed the petition freely and without compensation, that to the best of his or her knowledge the information provided by the signors is true and correct, and acknowledging that forging a signature or providing compensation to induce people to sign is illegal. The Secretary of State must reject a signed initiative petition if it does not have the required information, has insufficient signatures, or is filed too late.</p>
<p>In addition to statewide initiatives to the people and initiatives to the legislature, Washington law allows some types of local governments to allow for the filing of local initiatives and to set the requirements for submitting such initiatives.</p>
<p>Under current law, those gathering signatures for petitions and those signing petitions receive the same protection from harassment or assault as anyone else, but no further protection. Washington law provides that a person is guilty of harassment if they threaten to: cause bodily injury to another person, damage another person's property, restrain any person, or do any other act intended to substantially harm the threatened person's physical or mental health or safety. Washington's statutes and common law also prohibit assaulting another person with unlawful force and the intent to inflict bodily harm, regardless of whether bodily harm occurs. Assault also includes an act, done with unlawful force, with the intent of causing another person to fear bodily injury, if the act actually does create reasonable apprehension and imminent fear of bodily injury. The crime of stalking is committed if a person intentionally and repeatedly harasses or repeatedly follows a person with intent to frighten, intimidate, or harass the person, or with knowledge that the person is afraid, intimidated, or harassed. A person is guilty of disorderly conduct if the person uses abusive language and thereby creates a risk of assault, intentionally disrupts any lawful assembly, or obstructs vehicular or pedestrian traffic without lawful authority.</p>
<h3>The Effect of the Proposed Measure, if Approved</h3>
<p>This measure would increase the time for gathering petition signatures by up to six months. Proposed initiative measures for a statewide vote of the people could be filed with the Secretary of State starting sixteen months before the election at which the voters would consider the measure. Proposed initiative measures petitioning the legislature to enact a measure could be filed starting sixteen months prior to the legislature's next regular session at which the measure would be considered.</p>
<p>Any statewide initiative to the people or local initiative that received the required number of petition signatures in the required timeframe would have to be submitted to a vote of the people at the next election. Local government officials would be required to submit the initiative to a vote regardless of the subject matter of the initiative measure.</p>
<p>The measure would provide that interfering with signature gathering for a state or local initiative or referendum is illegal. Interfering with a person trying to sign a petition, stalking a person who signs a petition, or stalking or retaliating against a person who gathers petition signatures would constitute the misdemeanor of disorderly conduct. Such conduct would be subject to the civil anti-harassment procedures available under RCW 10.14, and civil penalties. Interfering with petition signing and signature gathering would be defined to include, but not limited to, pushing, shoving, touching, spitting, throwing objects, yelling, screaming, being verbally abusive, or other tumultuous conduct, blocking or intimidating, or maintaining an intimidating presence within twenty-five feet of a petition signer or signature gatherer. Initiative or referendum petition signing and signature gathering would be legally protected on public sidewalks and walkways and all sidewalks and walkways that carry pedestrians, including those in front of entrances and exits to stores, and inside or outside public buildings.</p>","<p>Written by the Office of Financial Management</p>
<p>Initiative 517 (I-517) makes changes to the state and local government initiative process. I-517 also provides that interfering with signature gathering for state or local initiatives or referenda is illegal. I-517 has no revenue, expenditure or cost impact on state government. There is no revenue impact on local governments from I-517. However, the expenditure and cost impacts to local governments are indeterminate.</p>
<h3>General Assumptions</h3>
<p>
<ul>
<li>The fiscal estimates contained in this fiscal impact statement are based, in part, on assumptions about the scope and legal effect of the ballot measure should it be enacted by the voters. Such assumptions are not intended to represent legal interpretation or conclusions of law.</li>
<li>I-517 is effective Dec. 5, 2013.</li>
<li>The term ""next election"" is assumed to mean the next general election as provided in RCW 29A.04.043.</li>
<li>No state or local government revenue impact is assumed if the initiative measure is approved.</li>
</ul>
</p>
<h3>State Expenditure and Cost Assumptions</h3>
<p>I-517 would increase the time for gathering initiative petition signatures by up to six months. The Secretary of State will need to reprogram the online filing system to require sponsors to indicate the year for which each initiative filing applies. No state expenditure or costs would be required for this task.</p>
<h3>Local Expenditure and Cost Assumptions</h3>
<p>The initiative power is not available to all local governments. Only counties that have adopted a charter form of government have the power of the initiative. The initiative power is also available only to first-class cities, commission cities and code cities (code cities must formally adopt these powers). Based on research by the Municipal Research and Service Center of Washington, an estimated six counties and 59 cities have initiative power.</p>
<p>If I-517 is approved by the voters, counties and cities with initiative power would be required to submit to a vote any initiative, regardless of its subject matter, that obtains the required number of valid voter signatures within the required timeframe. Counties and cities are required to pay for their proportionate share of costs in a general election. The cost to a county or city to certify a local initiative and place it on the ballot in a general election varies significantly. Costs vary by jurisdiction and election based on the number of registered voters in the jurisdiction, the number of measures and offices on the ballot and the methodology used by the county to apportion costs. Based on information provided by counties and cities, an average cost to verify an initiative signature is estimated at $0.80 per signature and an average general election cost is estimated at $1 per registered voter. However, there are no data to estimate the quantity or location of additional initiatives that may qualify for local elections if I-517 is approved, and therefore, the expenditure and cost impact on counties and cities is indeterminate.</p>
<p>Local governments may experience increased expenditures and costs related to the provision in I-517 that interfering with signature gathering for state or local initiatives or referenda is illegal. There are no data to estimate the annual number of law enforcement actions that may occur from this portion of the initiative, and therefore, the fiscal impact on counties and cities is indeterminate.</p>",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2013/General-Election/Documents/I-517_Complete_Text.pdf,,https://docs.google.com/spreadsheet/ccc?key=0AiPcA_16fYztdHpzNEFEUUJUbDJFWndhUW5yb3hydGc#gid=0,,Statewide,wash_i_517,,"<div class='t-lvg-library-resources'><div class='t-lvg-library-resource'>
<a href='http://www.responsiblechoiceswa.org/category/initiatives/i517/' target='_blank'>
Responsible Choices Washington: I-517 articles
</a>
<p>
Responsible Choices is a non-partisan organization which has a number of articles about the funding, support and impact of I-517.
</p></div><div class='t-lvg-library-resource'>
<a href='http://www.mrsc.org/subjects/legal/initiativeact.aspx' target='_blank'>
Municipal Research and Services Center of Washington: Initiative 517
</a>
<p>
Municipal Research and Services Center of Washington (MRSC) describes initiative I-517 and provides links to related resources.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://www.YesOn517.com' target='_blank'>
Yes on I-517
</a>
<p>
Campaign website for the coalition in support of I-517.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://www.no517.org/' target='_blank'>
NO on 517
</a>
<p>
Campaign website for the coalition against 517.
</p></div></div>",Discuss I-517: Should we make changes to the processes for initiative and referendum measures?,,"i-517,i517,Initiative 517,Washington,initiative,referendum,signature,gatherers,signature gatherers,petition,signers,balloting,gathering,citizen,citizen initiatives,eyman,"
Should we require labeling of genetically-engineered foods?,Statewide,Initiative,522,"<p>This measure would require most raw agricultural commodities, processed foods, and seeds and seed stocks, if produced using genetic engineering, as defined, to be labeled as genetically engineered when offered for retail sale.</p> <p>Should this measure be enacted into law?</p>","<p>Written by the Office of the Attorney General</p>
<h3>The Law as it Presently Exists</h3>
<p>In general, federal law regulates the safety and quality of food shipped between states, while Washington law regulates the safety and quality of food produced and sold within the state. Both federal and state law identify and regulate foods that are ""misbranded"" or ""adulterated,"" but neither state nor federal law requires any specific labeling of foods produced using genetic engineering.</p>
<p>Under Washington law, the director of the state Department of Agriculture is authorized to condemn, seize, and destroy misbranded or adulterated foods and food items. Washington law defines food and food products as ""misbranded"" where labeling or packaging is false or misleading, and ""adulterated"" if they contain some added substance that is poisonous or harmful to health, or if they are contaminated, diseased, putrid, or otherwise unfit as food or injurious to health. State law imposes many specific labeling and packaging requirements and prohibitions for food and food products, but it does not require any specific labeling of genetically engineered foods. No provision of state law treats genetically engineered food as adulterated.</p>
<p>Washington law also authorizes the director of the state Department of Agriculture to stop the sale of mislabeled agricultural seeds, flower seeds, and vegetable seeds sold in Washington, and to condemn and seize the seeds if necessary. Seeds are considered to be misbranded if they are not accurately labeled in compliance with state law, but existing state law does not require that genetically engineered seeds be labeled as genetically engineered.</p>
<h3>The Effect of the Proposed Measure, if Approved</h3>
<p>The measure would impose labeling requirements on genetically engineered foods and seeds offered for retail sale in Washington. The measure defines ""genetically engineered"" to mean changes to genetic material produced through techniques that directly insert DNA or RNA into organisms or that use cell fusion techniques to overcome natural barriers to cell multiplication or recombination.</p>
<p>Beginning July 1, 2015, any food produced using ""genetic engineering"" that is not labeled as required in the measure would be considered ""misbranded."" The measure would require genetically engineered raw agricultural commodities to be labeled conspicuously with the words ""genetically engineered,"" and genetically engineered packaged processed foods would have to be labeled conspicuously with the words ""partially produced with genetic engineering"" or ""may be partially produced with genetic engineering."" The measure would exempt the following foods from the labeling requirements: alcoholic beverages; certified organic foods; foods not produced using genetic engineering, as certified by an approved independent organization; foods served in restaurants or in food service establishments; ""medical food""; and foods consisting of or derived from animals that have themselves not been genetically engineered, regardless of whether the animal has been fed any genetically engineered food; and processed foods produced using genetically engineered processing aids or enzymes. Processed foods containing small amounts of genetically engineered materials would be exempt until July 1, 2019.</p>
<p>Beginning July 1, 2015, the measure also would require that genetically engineered seeds and seed stock be labeled conspicuously with the words ""genetically engineered"" or ""produced with genetic engineering.""</p>
<p>The measure provides that its requirements are to be implemented and enforced by the state Department of Health, instead of the state Department of Agriculture, and would authorize the Department of Health to assess a civil penalty of up to one thousand dollars per day for each violation. The Department of Health, acting through the Attorney General, could bring an action in superior court to enjoin a person violating the measure. Separately, after giving sixty days notice, any private person could bring an action in superior court to enjoin a person violating the measure, and potentially recover costs and attorney fees for the action.</p>","<p>Written by the Office of Financial Management</p>
<p>The initiative authorizes the Washington State Department of Health to adopt rules necessary to implement the initiative. Beginning July 1, 2015, the initiative allows the Department of Health, through the Attorney General, to bring an action to enjoin violations of the initiative's requirement that most raw agricultural commodities, processed foods, seeds and seed stocks, if produced using genetic engineering, be labeled as genetically engineered when offered for retail sale. Known state agency implementation costs are estimated at $3,368,000 over six fiscal years. State and local revenue and costs from enforcement activities are indeterminate.</p>
<h3>General Assumptions</h3>
<p>
<ul>
<li>The fiscal estimates contained in this fiscal impact statement are based, in part, on assumptions about the scope and legal effect of the ballot measure should it be enacted by the voters. Such assumptions are not intended to represent legal interpretation or conclusions of law.</li>
<li>The initiative is effective Dec. 5, 2013. However, the initiative's labeling requirements begin July 1, 2015.</li>
<li>Estimates are described using the state's fiscal year (FY) of July 1 through June 30.</li>
</ul>
</p>
<h3>State Revenue Assumptions</h3>
<p>The initiative would allow the Department of Health (DOH) to assess a civil penalty against any person violating the requirements of the initiative in an amount not to exceed one thousand dollars ($1,000) per day. Additional state revenue could be generated from filing fees for civil actions filed in county superior courts to enforce the initiative's requirements. As provided in RCW 36.18.025, 46 percent of county superior court filing fees must be remitted to the State Treasurer for deposit in the state general fund and 54 percent of fees remain with the county. There are no data to estimate the annual number of civil actions or civil penalties that may be generated. Therefore, the state revenue impact from the initiative is indeterminate.</p>
<h3>State Expenditure and Cost Assumptions</h3>
<p>DOH program development will include expenditures for rule making, inspection and compliance, as well as education and technical assistance to the food industry. The cost of these expenditures over six fiscal years is estimated at $2,168,000. Beginning July 1, 2015, DOH will contract with a private laboratory for product sampling and testing as required in the initiative. Total cost of this expenditure over six fiscal years is estimated at $1,200,000. The following table shows DOH estimated costs by fiscal year:</p>
<table>
<tr>
<td><strong>Fiscal Year</strong></td>
<td><strong>2014</strong></td>
<td><strong>2015</strong></td>
<td><strong>2016</strong></td>
<td><strong>2017</strong></td>
<td><strong>2018</strong></td>
<td><strong>2019</strong></td>
<td><strong>Costs</strong></td>
</tr>
<tr>
<td><strong>Program Development</strong></td>
<td>$82,000</td>
<td>$96,000</td>
<td>$210,000</td>
<td>$210,000</td>
<td>$210,000</td>
<td>$210,000</td>
<td>$1,018,000</td>
</tr>
<tr>
<td><strong>Rule Development</strong></td>
<td>$96,000</td>
<td>$122,000</td>
<td>$0</td>
<td>$0</td>
<td>$0</td>
<td>$0</td>
<td>$218,000</td>
</tr>
<tr>
<td><strong>Compliance and Enforcement</strong></td>
<td>$0</td>
<td>$0</td>
<td>$239,000</td>
<td>$300,000</td>
<td>$300,000</td>
<td>$300,000</td>
<td>$932,000</td>
</tr>
<tr>
<td><strong>Laboratory Sampling and Testing</strong></td>
<td>$0</td>
<td>$0</td>
<td>$300,000</td>
<td>$300,000</td>
<td>$300,000</td>
<td>$300,000</td>
<td>$1,200,000</td>
</tr>
<tr>
<td><strong>Total</strong></td>
<td>$178,000</td>
<td>$218,000</td>
<td>$749,000</td>
<td>$741,000</td>
<td>$741,000</td>
<td>$741,000</td>
<td>$3,368,000</td>
</tr>
</table>
<h3>Local Revenue, Expenditure and Cost Assumptions</h3>
<p>Counties may experience increased revenue, expenditures and costs from civil actions filed in county superior courts to enforce the initiative's requirements. There are no data to estimate the annual number of civil actions that may occur. Therefore, the fiscal impact on counties from the initiative is indeterminate.</p>",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2013/General-Election/Documents/I-522_Complete_Text.pdf,http://www.responsiblechoiceswa.org/2013/09/i-522-analysis/,https://docs.google.com/spreadsheet/ccc?key=0AiPcA_16fYztdHpzNEFEUUJUbDJFWndhUW5yb3hydGc#gid=0,,Statewide,wash_i_522,,"<div class='t-lvg-library-resources'>
<div class='t-lvg-library-resource'>
<a href='http://www.responsiblechoiceswa.org/category/initiatives/i522/' target='_blank'>
Responsible Choices Washington: I-522 articles
</a>
<p>
Responsible Choices is a non-partisan organization which has a number of articles about the funding, support and impact of I-522.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://www.fda.gov/Food/FoodScienceResearch/Biotechnology/ucm346030.htm' target='_blank'>
U.S. Food and Drug Administration: Questions & Answers on Food from Genetically Engineered Plants
</a>
<p>
Food and Drug Administration's (FDA) FAQs provide brief answers to common questions about Food from Genetically Engineered Plants.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://www.fda.gov/Food/GuidanceRegulation/GuidanceDocumentsRegulatoryInformation/LabelingNutrition/ucm059098.htm' target='_blank'>
U.S. Food and Drug Administration Guidance for Industry: Voluntary Labeling Indicating Whether Foods Have or Have Not Been Developed Using Bioengineering; Draft Guidance
</a>
<p>
Food and Drug Administration's (FDA) draft guideline for labeling whether foods have or have not been developed using bioengineering. This was distributed for comment purposes.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://gmoanswers.com/' target='_blank'>
GMO Answers
</a>
<p>
Basic information about GMOs funded by the Council for Biotechnology Information, whose members are crop biotechnology and agricultural companies.  Includes information about genetic modification of crops and an extensive <a href='http://gmoanswers.com/ask' target='_blank'>Q & A section</a> moderated by scientists.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://www.ama-assn.org//resources/doc/csaph/a12-csaph2-bioengineeredfoods.pdf' target='_blank'>
American Medical Association: Labeling of Bioengineered Foods
</a>
<p>
Report 2 of the Council on Science and Public Health reviews the potential adverse health effects of bioengineered foods, and implications for labeling foods containing genetically-engineered ingredients.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://yeson522.com/' target='_blank'>
Yes on 522 Committee campaign website
</a>
<p>
Campaign website for the coalition in support of I-522.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://www.votenoon522.com' target='_blank'>
NO on 522 Coalition campaign website
</a>
<p>
Campaign website for the coalition against I-522.
</p></div>
</div>",Discuss I-522: Should we require labeling of genetically-engineered foods?,,"I-522,initiative 522,i522,522,Washington,farmers,food producers,scientists,genetically engineered,(GE),labels,GMO,label GMO,genetically engineered food,ge food,label genetically engineered food,gmo bill,"
Should we change the leasehold excise tax credit for taxpayers who lease publicly-owned property?,Statewide,Advisory Measure,3,"<p>The legislature eliminated, without a vote of the people, a leasehold excise tax credit for taxpayers who lease publicly-owned property, costing approximately $2,000,000 in the first ten years, for government spending.</p> <p>Should this effective tax increase be repealed or maintained?</p>",,,http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bills/Session%20Laws/Senate/5444-S.SL.pdf,,,,Statewide,measure_03,,"<div class='t-lvg-library-resources'>
<div class='t-lvg-library-resource'>
<a href='http://dor.wa.gov/Docs/Pubs/SpecialNotices/2013/sn_13_LeaseholdCredit.pdf' target='_blank'>
Washington Department of Revenue: Excess Leasehold Excise Tax Credit Eliminated
</a>
<p>
Fact sheet from the Washington Department of Revenue on the eliminated Leasehold Excise Tax Credit. 
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://dor.wa.gov/content/findtaxesandrates/othertaxes/tax_leasehold.aspx' target='_blank'>
Washington Department of Revenue: Leasehold Excise Tax
</a>
<p>
Washington Department of Revenue_FAQ about Washington's leasehold tax. 
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://ballotpedia.org/wiki/index.php/Washington_Leasehold_Excise_Tax_Credit_Elimination_Question,_Advisory_Vote_3_(2013)' target='_blank'>
Ballotpedia entry for Advisory Vote 3
</a>
<p>
Ballotpedia, a project of the <a href='http://www.lucyburns.org/' target='_blank'>Lucy Burns Institute</a>, provides wikipedia style pages on ballot measures nation wide. For Advisory Vote 3 (A-3), this source provides some background and a link to the history of the Washington Rules for Approving Tax Increases, Initiative 960 (2007), which placed Advisory Vote 3 (A-3) on this year's ballot.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bill%20Reports/Senate/5444-S%20SBR%20FBR%2013.pdf' target='_blank'>
Final Bill Report SSB 5444
</a>
<p>
Final Bill Report for SSB 5444. Analysis prepared by non-partisan legislative staff for the use of legislative members in their deliberations.
</p></div>
</div>",,,"Advisory,Advisory 3,A-3,Leasehold,Excise,Tax Credit,Elimination,Washington,"
Should we change an aircraft excise tax on commuter air carriers in lieu of property tax?,Statewide,Advisory Measure,4,"<p>The legislature imposed, without a vote of the people, an aircraft excise tax on commuter air carriers in lieu of property tax, costing approximately $500,000 in its first ten years, for government spending.</p> <p>Should this effective tax increase be repealed or maintained?</p>",,,http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bills/Session%20Laws/Senate/5627.SL.pdf,,,,Statewide,measure_04,,"<div class='t-lvg-library-resources'>
<div class='t-lvg-library-resource'>
<a href='http://dor.wa.gov/content/findtaxesandrates/othertaxes/tax_aircraft.aspx' target='_blank'>
Washington Department of Revenue: Aircraft Excise Tax
</a>
<p>
Washington Department of Revenue FAQ about Washington's aircraft excise tax.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bill%20Reports/Senate/5627%20SBR%20FBR%2013.pdf' target='_blank'>
Final Bill Report for SB 5627
</a>
<p>
Analysis prepared by non-partisan legislative staff for the use of legislative members in their deliberations.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bill%20Reports/House/5627%20HBA%20FIN%2013.pdf' target='_blank'>
Finance Committee Bill Analysis for SB 5627
</a>
<p>
Finance Committee Bill Analysis for SB 5627.  Analysis prepared by non-partisan legislative staff for the use of legislative members in their deliberations.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://ballotpedia.org/wiki/index.php/Washington_Aircraft_Excise_Tax_Question,_Advisory_Vote_4_(2013)' target='_blank'>
Ballotpedia entry for Advisory Vote 4
</a>
<p>
Ballotpedia, a project of the <a href='http://www.lucyburns.org/' target='_blank'>Lucy Burns Institute</a>, provides wikipedia style pages on ballot measures nation wide. For Advisory Vote 4 (A-4), this source provides some background and a link to the history of the Washington Rules for Approving Tax Increases, Initiative 960 (2007), which placed Advisory Vote 4 (A-4) on this year's ballot.
</p></div>
</div>",,,"Advisory,Advisory 4,A-4,Washington,aircraft,excise tax,excise,tax,commuter air carriers,carriers,air carriers,"
Should we change the insurance premium tax to some insurance for pediatric oral services?,Statewide,Advisory Measure,5,"<p>The legislature extended, without a vote of the people, the insurance premium tax to some insurance for pediatric oral services, costing an amount that cannot currently be estimated, for government spending.</p> <p>Should this effective tax increase be repealed or maintained?</p>",,,http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bills/Session%20Laws/House/1846-S.SL.pdf,,,,Statewide,measure_05,,"<div class='t-lvg-library-resources'>
<div class='t-lvg-library-resource'>
<a href='http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bill%20Reports/House/1846-S.E%20HBR%20FBR%2013.pdf' target='_blank'>
Final Bill Report ESHB 1846
</a>
<p>
Final Bill Report for ESHB 1846. Analysis prepared by non-partisan legislative staff for the use of legislative members in their deliberations.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://ballotpedia.org/wiki/index.php/Washington_Insurance_Premium_Tax_Question,_Advisory_Vote_5_(2013)' target='_blank'>
Ballotpedia entry for Advisory Vote 5
</a>
<p>
Ballotpedia, a project of the <a href='http://www.lucyburns.org/' target='_blank'>Lucy Burns Institute</a>, provides wikipedia style pages on ballot measures nation wide. For Advisory Vote 5 (A-5), this source provides some background and a link to the history of the Washington Rules for Approving Tax Increases, Initiative 960 (2007), which placed Advisory Vote 5 (A-5) on this year's ballot.
</p></div>
</div>",,,"Advisory,Advisory 5,A-5,Washington,Insurance,Tax,Insurance Premium,Tax Question,"
Should we change the retail sales tax exemption for certain telephone and telecommunications services?,Statewide,Advisory Measure,6,"<p>The legislature eliminated, without a vote of the people, a retail sales tax exemption for certain telephone and telecommunications services, costing approximately $397,000,000 in the first ten years, for government spending.</p> <p>Should this effective tax increase be repealed or maintained?</p>",,,http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bills/Session%20Laws/House/1971-S2.SL.pdf,,,,Statewide,measure_06,,"<div class='t-lvg-library-resources'>
<div class='t-lvg-library-resource'>
<a href='http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bill%20Reports/House/1971-S2.E2%20HBR%20FBR%2013%20E2.pdf' target='_blank'>
Final Bill Report 2E2SHB 1971
</a>
<p>
Final Bill Report for 2E2SHB 1971. Analysis prepared by non-partisan legislative staff for the use of legislative members in their deliberations.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://ballotpedia.org/wiki/index.php/Washington_Retail_Sales_Tax_Exemption_Elimination_Question,_Advisory_Vote_6_(2013)' target='_blank'>
Ballotpedia entry for Advisory Vote 6
</a>
<p>
Ballotpedia, a project of the <a href='http://www.lucyburns.org/' target='_blank'>Lucy Burns Institute</a>, provides wikipedia style pages on ballot measures nation wide.  For Advisory Vote 6 (A-6), this source provides some background and a link to the history of the Washington Rules for Approving Tax Increases, Initiative 960 (2007), which placed Advisory Vote 6 (A-6)on this year's ballot.
</p></div>
</div>",,,"Advisory,Advisory 6,A-6,Washington,Retail,Sales Tax,Tax,Exemption,Tax Exemption,Elimination,Retail Sales Tax,"
"Should we change the estate tax on certain property transfers and increased rates for estates over $4,000,000?",Statewide,Advisory Measure,7,"<p>The legislature extended, without a vote of the people, estate tax on certain property transfers and increased rates for estates over $4,000,000, costing approximately $478,000,000 in the first ten years, for government spending.</p> <p>Should this effective tax increase be repealed or maintained?</p>",,,http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bills/Session%20Laws/House/2075.SL.pdf,,,,Statewide,measure_07,,"<div class='t-lvg-library-resources'>
<div class='t-lvg-library-resource'>
<a href='http://apps.leg.wa.gov/documents/billdocs/2013-14/Pdf/Bill%20Reports/House/2075.E%20HBR%20FBR%2013%20E2.pdf' target='_blank'>
Final Bill Report EHB 2075
</a>
<p>
Final Bill Report for EHB 2075. Analysis prepared by non-partisan legislative staff for the use of legislative members in their deliberations.
</p></div>
<div class='t-lvg-library-resource'>
<a href='http://ballotpedia.org/wiki/index.php/Washington_Estate_Tax_Extension_Question,_Advisory_Vote_7_(2013)' target='_blank'>
Ballotpedia entry for Advisory Vote 7
</a>
<p>
Ballotpedia, a project of the <a href='http://www.lucyburns.org/' target='_blank'>Lucy Burns Institute</a>, provides wikipedia style pages on ballot measures nation wide. For Advisory Vote 7 (A-7), this source provides some background and a link to the history of the the Washington Rules for Approving Tax Increases, Initiative 960 (2007), which placed Advisory Vote 7 (A-7) on this year's ballot.
</p></div>
</div>",,,"Advisory,Advisory 7,A-7,Washington,Estate,Estate Tax,Tax,Extension,Tax Extension,"
 Should we issue general obligation bonds to  enable the district to undertake repairs and renovations for student safety and construct a school in Tahoma School District No. 409?,Tahoma School District No. 409,Proposition,1,"The Board of Directors of Tahoma School District No. 409 adopted Resolution No. 2013-13 concerning this proposition for bonds. This proposition would authorize the district to undertake repairs and renovations, student safety and other upgrades to designated schools and facilities throughout the district to extend their useful life, and construction of a new 9-12 high school; to issue $195,000,000 of general obligation bonds maturing within a maximum of 30 years; and to levy excess property taxes annually to repay the bonds, as provided in Resolution No. 2013-13.",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47896&eid=1258,,,,Tahoma School District No. 409,tahomaprop,,,,,"Proposition 1,"
Should we authorize a special levy for the for operation and maintenance of Tekoa Park and Recreation District No. 6?,Tekoa Park District No. 6,Proposition,1,"<p>Shall Tekoa Park and Recreation District No. 6 be authorized to impose a special levy of $1.30 per one thousand dollars of assessed valuation, to be collected in the year 2014, in order to collect $80,000 for operation and maintenance?</p> <p>Do you support or oppose this measure?</p>",,,,,,,Tekoa Park District No. 6,wt_parktx7,,,,,"Proposition 1,"
"Should we authorize the District to levy certain
excess taxes to finance educational programs and maintanence in the Wahluke School District No. 73?",Wahluke School District No. 73,Proposition,1,"The Board of Directors of Wahluke School District No. 73 adopted Resolution No. 03-2013, concerning a proposition to finance educational programs, maintenance and operation expenses. This proposition would authorize the District to meet the educational needs of its students by levying the following excess taxes, in place of an expiring levy, on all taxable property within the District, for support of the District's General Fund educational programs, maintenance and operation expenses: 
Year 
Approximate Levy Rate/$1,000 Amount
Assessed Value
Collection Levy
2015 $2.91 $1,410,433
2016 $2.91 $1,445,694
",,,http://www.yakimacounty.us/vote/sampleBallot11052013.pdf,,,,Wahluke School District No. 73,wahluke_73,,,,,"Proposition 1,"
Should we authorize the Whatcom County Fire Protection District No. 4 to impose a permanent regular property levy?,Whatcom Fire Protection District No. 4,Proposition,1,Will Whatcom County Fire Protection District No. 4 be authorized to impose a PERMANENT regular property levy of thirty cents ($.30) or less per thousand dollars of assessed valuation?,,,https://wei.sos.wa.gov/county/whatcom/en/Documents/2013_Gen_Voters_Guide.pdf,,,,Whatcom Fire Protection District No. 4,wm_firetax,,,,,"Proposition 1,"
Should we authorize the Whitman County Fire District No. 5 to impose a levy for the next four years to support the General Fund and used for maintenance and operations?,Whitman Fire District No. 5,Proposition,1,"Shall the Whitman County Fire District No. 5, Whitman County, Washington, be authorized to levy in 2014, 2015, 2016 and 2017 as part of the tax to be collected in 2014, 2015, 2016 and 2017 the sum of $10,000 in 2014, 2015, 2016 and 2017 each which will require approximately $ .34 per each $1,000 for 2014, 2015, 2016 and 2017 of assessed valuation of the aforesaid district, said tax levy to be in addition to the maximum levy proved by law for such district, the proceeds thereof to be placed in the General Fund and used for maintenance and operations?",,,,,,,Whitman Fire District No. 5,wt_firetx3,,,,,"Proposition 1,"
